running time, rating, release date, studio, movie title, gross earnings, year
169,R,9/6/2019,Warner Bros.,It Chapter Two,211593228,2019,
122,R,10/4/2019,Warner Bros.,Joker,335451311,2019,
128,PG,5/24/2019,Walt Disney Studios Motion Pictures,Aladdin,355559216,2019,
129,PG-13,7/2/2019,Sony Pictures Entertainment (SPE),Spider-Man:Far from Home,390532085,2019,
141,PG-13,12/20/2019,Walt Disney Studios Motion Pictures,Star Wars: Episode IX - The Rise of Skywalker,515202542,2019,
123,PG-13,3/8/2019,Walt Disney Studios Motion Pictures,Captain Marvel,426829839,2019,
103,PG,11/22/2019,Walt Disney Studios Motion Pictures,Frozen II,477373578,2019,
100,G,6/21/2019,Walt Disney Studios Motion Pictures,Toy Story 4,434038008,2019,
118,PG,7/19/2019,Walt Disney Studios Motion Pictures,The Lion King,543638043,2019,
181,PG-13,4/26/2019,Walt Disney Studios Motion Pictures,Avengers: Endgame,858373000,2019,
135,PG-13,5/25/2018,Walt Disney Studios Motion Pictures,Solo: a Star Wars Story,213767512,2018,
118,PG-13,7/6/2018,Walt Disney Studios Motion Pictures,Ant-Man and the Wasp,216648740,2018,
147,PG-13,7/27/2018,Paramount Pictures,Mission: Impossible - Fallout,220159104,2018,
119,PG-13,12/20/2018,Sony Pictures Entertainment (SPE),Jumanji: Welcome to the Jungle,404515480,2018,
85,PG,11/9/2018,Universal Pictures,The Grinch,270620950,2018,
119,R,5/18/2018,Twentieth Century Fox,Deadpool 2,318491426,2018,
128,PG-13,6/22/2018,Universal Pictures,Jurassic World: Fallen Kingdom,417719760,2018,
118,PG,6/15/2018,Walt Disney Studios Motion Pictures,Incredibles 2,608581744,2018,
149,PG-13,4/27/2018,Walt Disney Studios Motion Pictures,Avengers: Infinity War,678815482,2018,
134,PG-13,2/16/2018,Walt Disney Studios Motion Pictures,Black Panther,700059566,2018,
136,PG-13,4/14/2017,Universal Pictures,The Fate of the Furious,226008385,2017,
137,R,3/3/2017,Twentieth Century Fox,Logan,226277068,2017,
89,PG,6/30/2017,Universal Pictures,Despicable Me 3,264624300,2017,
130,PG-13,11/3/2017,Walt Disney Studios Motion Pictures,Thor: Ragnarok,315058289,2017,
135,R,9/8/2017,Warner Bros.,It,327481748,2017,
133,PG-13,7/7/2017,Sony Pictures Entertainment,Spider-Man: Homecoming,334201140,2017,
136,PG-13,5/5/2017,Walt Disney Studios Motion Pictures,Guardians of the Galaxy Vol. 2,389813101,2017,
141,PG-13,6/2/2017,Warner Bros.,Wonder Woman,412563408,2017,
129,PG,3/17/2017,Walt Disney Studios Motion Pictures,Beauty and the Beast,504014165,2017,
152,PG-13,12/15/2017,Walt Disney Studios Motion Pictures,Star Wars: Episode VIII - The Last Jedi,620181382,2017,
138,PG-13,12/18/2016,Walt Disney Studios Motion Pictures,Star Wars: Episode VII - The Force Awakens,936662225,2016,
123,PG-13,8/5/2016,Warner Bros.,Suicide Squad,325100054,2016,
151,PG-13,3/25/2016,Warner Bros.,Batman v Superman: Dawn of Justice,330360194,2016,
108,PG,3/4/2016,Walt Disney Studios Motion Pictures,Zootopia,341268248,2016,
108,R,2/12/2016,Twentieth Century Fox,Deadpool,363070709,2016,
106,PG,4/15/2016,Walt Disney Studios Motion Pictures,The Jungle Book,364001123,2016,
87,PG,7/8/2016,Universal Pictures,The Secret Life of Pets,368384330,2016,
147,PG-13,5/6/2016,Walt Disney Studios Motion Pictures,Captain America: Civil War,408084349,2016,
133,PG-13,12/16/2016,Walt Disney Studios Motion Pictures,Rogue One: A Star Wars Story,532177324,2016,
97,PG,6/17/2016,Walt Disney Studios Motion Pictures,Finding Dory,486295561,2016,
105,PG,3/13/2015,Walt Disney Studios Motion Pictures,Cinderella,201151353,2015,
144,PG-13,10/2/2015,Twentieth Century Fox,The Martian,228433663,2015,
137,PG-13,11/20/2015,Lionsgate,The Hunger Games: Mockingjay - Part 2,281723902,2015,
91,PG,7/10/2015,Universal Pictures,Minions,336045770,2015,
133,R,12/25/2015,Warner Bros.,American Sniper,350126372,2015,
137,PG-13,4/3/2015,Universal Pictures,Furious 7,353007020,2015,
